path,filename,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
./data/genres(only new)/new/Only_-_country_-Ben-Bostick-The-Rascal-Is-Back-Instrumental-Version.wav,Only_-_country_-Ben-Bostick-The-Rascal-Is-Back-Instrumental-Version.wav,0.40583286,0.150884,1801.780279268391,2061.8099253555147,3808.0769283670775,0.0823107263371898,-138.41638,107.74444,-8.081799,35.410576,16.586304,17.696692,-0.8158418,2.5276785,0.32886308,11.309679,-5.7472525,4.9116426,-1.8617731,3.4322739,-3.833768,3.4439182,-3.1952004,4.8673844,-2.6934848,-1.8002439,Only_-_country_-Ben-Bostick-The-Rascal-Is-Back-Instrumental-Version
./data/genres(only new)/new/Only_-_hiphop_-Ori-Brinker-All-for-the-Future.wav,Only_-_hiphop_-Ori-Brinker-All-for-the-Future.wav,0.33392677,0.19389527,1922.5244720891505,1913.0853925972788,3828.2464599609375,0.08506002620774872,-126.52347,104.13967,-25.17093,7.303225,-8.4111185,-4.0239,-17.50801,-3.6658063,-12.215489,-4.6083803,-12.64008,-5.408213,-4.6257463,6.598872,-2.5630925,6.465259,-0.7462898,3.5664186,-3.2567837,-1.1056623,Only_-_hiphop_-Ori-Brinker-All-for-the-Future
./data/genres(only new)/new/fusion_-_country_-jazz_-acoustic_-The-Bottlesnakes-Iowa-and-Cherokee.wav,fusion_-_country_-jazz_-acoustic_-The-Bottlesnakes-Iowa-and-Cherokee.wav,0.24392268,0.15750137,1261.5817924437988,1530.4211590233308,2268.777102949075,0.0631818696656144,-162.99982,137.44814,-11.774125,13.389125,-5.358283,8.14082,-4.449211,-0.1218448,-6.26965,-1.5381994,-8.824728,-3.346426,-9.124072,-5.896582,-4.8054223,-4.856084,-5.165923,-1.0546403,-3.473535,3.9111993,fusion_-_country_-jazz_-acoustic_-The-Bottlesnakes-Iowa-and-Cherokee
./data/genres(only new)/new/fusion_-_country_-rock_-pop_-Jay-Putty-Perfect-Weekend.wav,fusion_-_country_-rock_-pop_-Jay-Putty-Perfect-Weekend.wav,0.40303615,0.20143504,2612.1953984900247,2712.7880728302976,5855.150096567147,0.10837484026486989,-59.468258,77.29785,7.0722404,31.52322,4.3277473,4.600645,-5.130556,5.345969,-10.043663,4.0162454,-9.011683,6.8371553,-8.763196,0.7008692,-7.2197065,3.1092563,-12.741076,0.76241964,-12.925092,0.018498167,fusion_-_country_-rock_-pop_-Jay-Putty-Perfect-Weekend
